ATIKOKAN,48.75039512,-91.61658899
ATTAWAPISKAT,52.91662661,-82.43332524
BARRIE,44.38376243,-79.7000037
BELLEVILLE,44.16666974,-77.38334924
BIG BEAVER HOUSE,52.94998374,-89.88328394
BROCKVILLE,44.5892796,-75.69531275
CAT LAKE,51.71703575,-91.79998865
CHAPLEAU,47.83370689,-83.40001042
COBALT,47.38370852,-79.68331222
COCHRANE,49.06701662,-81.01656417
CORNWALL,45.01705711,-74.73333012
DEER LAKE,52.61703249,-94.06659448
DRYDEN,49.78332949,-92.83333643
FORT SEVERN,55.98333864,-87.64998356
GERALDTON,49.71664105,-86.96664026
HAMILTON,43.24998151,-79.82999577
HEARST,49.70049217,-83.66658329
KAPUSKASING,49.4166852,-82.43332524
KENORA,49.76668968,-94.46664758
KINGSTON,44.23371991,-76.48330082
KITCHENER,43.44999514,-80.50000655
LANSDOWNE HOUSE,52.21664349,-87.88332849
LITTLE CURRENT,45.96702496,-81.93332992
LONDON,42.9699986,-81.24998661
MARATHON,48.75039512,-86.36665104
MOOSONEE,51.28060244,-80.65798141
NEW LISKEARD,47.50000633,-79.66664657
NIPIGON,49.01704551,-88.24997278
NORTH BAY,46.30000205,-79.44999313
ORANGEVILLE,43.91707257,-80.08333948
ORILLIA,44.59997662,-79.41666183
OSHAWA,43.87999473,-78.84997807
OTTAWA,45.4166968,-75.7000153
OWEN SOUND,44.56664532,-80.84998519
PARRY SOUND,45.33370445,-80.03300663
PETERBOROUGH,44.29996909,-78.33326542
RED LAKE,51.03369244,-93.83330123
SARNIA,42.96663963,-82.3999681
SIOUX LOOKOUT,50.26296429,-91.9166482
SUDBURY,46.49998985,-80.96664474
THESSALON,46.24997927,-83.55000126
THUNDER BAY,48.44615013,-89.27497481
TIMMINS,48.46658815,-81.33331486
TORONTO,43.69997988,-79.42002079
WAWA,48.00041506,-84.78333683
WIARTON,44.73368939,-81.13330123
WINDSOR,42.33329327,-83.03334029
ATHABASCA,54.71703351,-113.2665853
BANFF,51.17799888,-115.5719227
BROOKS,50.56705426,-111.9000021
CALGARY,51.08299176,-114.0799982
CAMROSE,53.01669802,-112.8166386
EDMONTON,53.55002464,-113.4999819
FORT CHIPEWYAN,58.71709943,-111.1499962
FORT MCMURRAY,56.7333187,-111.3833153
FORT SMITH,60.00001853,-111.8833364
GRAND PRAIRIE,55.16664431,-118.7999943
HINTON,53.39998212,-117.5833503
JASPER,52.88332115,-118.0833714
LAC LA BICHE,54.77193972,-111.964701
LAKE LOUISE,51.43369387,-116.1832807
LETHBRIDGE,49.70049217,-112.8332784
MEANDER RIVER,59.03328168,-117.6829824
MEDICINE HAT,50.03331423,-110.6833322
PEACE RIVER,56.23332338,-117.2832911
RED DEER,52.26664044,-113.8000411
STETTLER,52.33296714,-112.6832876
VEGREVILLE,53.49997601,-112.0499671
WETASKIWIN,52.96657188,-113.3832966
ABBOTSFORD,49.05037681,-122.2999874
BELLA BELLA,52.14840476,-128.1172809
BURNS LAKE,54.21701235,-125.7665975
CAMPBELL RIVER,50.01708783,-125.2499882
CHILLIWACK,49.16664878,-121.949983
COURTENAY,49.68333559,-124.9999777
CRANBROOK,49.5166791,-115.7666653
CRESTON,49.09996035,-116.516697
DAWSON CREEK,55.76696942,-120.233266
DEASE LAKE,58.45034568,-130.033288
FORT NELSON,58.81670575,-122.5329706
FORT ST. JOHN,56.24998903,-120.8332811
KAMLOOPS,50.66666058,-120.3332858
KELOWNA,49.89998903,-119.4833118
LILLOOET,50.68371381,-121.9332656
NANAIMO,49.14602021,-123.9342911
NELSON,49.48365786,-117.2832911
PENTICTON,49.50037518,-119.5832799
PORT HARDY,50.71707094,-127.4999801
POWELL RIVER,49.88371096,-124.5499793
PRINCE GEORGE,53.91666892,-122.7666515
PRINCE RUPERT,54.31667035,-130.3299882
QUESNEL,52.98367678,-122.4832837
REVELSTOKE,51.0004645,-118.1833395
SANDSPIT,53.24040529,-131.8332815
SMITHERS,54.76659121,-127.1665896
TERRACE,54.49999249,-128.5833248
TOFINO,49.15207146,-125.9031487
VANCOUVER,49.27341658,-123.1216442
VICTORIA,48.43328269,-123.3500009
WILLIAMS LAKE,52.1166496,-122.1499966
BERENS RIVER,52.36655682,-97.03331262
BRANDON,49.83327476,-99.94998214
BROCHET,57.88322268,-101.6665957
CHURCHILL,58.76598533,-94.1659941
DAUPHIN,51.15001609,-100.0499502
FLIN FLON,54.76659121,-101.8833008
GILLAM,56.34998293,-94.69996668
GIMLI,50.63330345,-96.99998133
ISLAND LAKE,53.96658836,-94.7665776
LYNN LAKE,56.85002993,-101.0499667
NELSON HOUSE,55.80045575,-98.85002344
NORWAY HOUSE,53.96658836,-97.83328963
OXFORD HOUSE,54.95040428,-95.26659876
PUKATAWAGAN,55.73327639,-101.3166171
SELKIRK,50.15002545,-96.88332178
SHAMATTAWA,55.85037518,-92.08327885
STEINBACH,49.51709251,-96.68330815
THE PAS,53.81662335,-101.2333147
THOMPSON,55.74994204,-97.86662093
WINNIPEG,49.88298749,-97.16599186
BATHURST,47.59997438,-65.64998275
EDMUNDSTON,47.37941937,-68.3332815
FREDERICTON,45.94999758,-66.63330774
MONCTON,46.08334861,-64.76667749
SAINT JOHN,45.26704185,-66.07667505
AMHERST,45.81656903,-64.21658187
ANTIGONISH,45.62691652,-61.99819015
BADDECK,46.09998842,-60.75397669
DIGBY,44.62258506,-65.7604928
HALIFAX,44.65002525,-63.60000452
LIVERPOOL,44.03995913,-64.72001367
NEW GLASGOW,45.58327578,-62.63331934
SHELBURNE,43.76560895,-65.31935694
SYDNEY,46.06611452,-60.17998071
WINDSOR,44.98059938,-64.12911951
YARMOUTH,43.83079447,-66.1125812
YELLOWKNIFE,62.44201418,-114.3969814
ALERT,82.48332318,-62.24998356
ARCTIC BAY,73.03330568,-85.16662093
ARVIAT,61.10859211,-94.05860672
BAKER LAKE,64.31699017,-96.01665633
CAMBRIDGE BAY,69.11695559,-105.0333153
CAPE DORSET,64.31251972,-76.53857863
CHESTERFIELD INLET,63.33829022,-90.70008163
CORAL HARBOUR,64.15377016,-83.17658736
